Extract.Date,CCG.Code,CCG.Name,Breakdown.Field,Breakdown.Value,Patient.Count,CCG20CD,pop19
20/03/2021,01Y,NHS Tameside and Glossop CCG,ALL,ALL,18665,E38000182,260063
20/03/2021,02A,NHS Trafford CCG,ALL,ALL,14615,E38000187,237354
20/03/2021,02E,NHS Warrington CCG,ALL,ALL,13095,E38000194,210014
20/03/2021,02G,NHS West Lancashire CCG,ALL,ALL,7460,E38000200,114306
20/03/2021,02H,NHS Wigan Borough CCG,ALL,ALL,21600,E38000205,328662
20/03/2021,02M,NHS Fylde and Wyre CCG,ALL,ALL,13325,E38000226,194337
20/03/2021,02P,NHS Barnsley CCG,ALL,ALL,17355,E38000006,246866
20/03/2021,02Q,NHS Bassetlaw CCG,ALL,ALL,9730,E38000008,117459
20/03/2021,02T,NHS Calderdale CCG,ALL,ALL,14270,E38000025,211455
20/03/2021,02X,NHS Doncaster CCG,ALL,ALL,23085,E38000044,311890
20/03/2021,02Y,NHS East Riding of Yorkshire CCG,ALL,ALL,21960,E38000052,318400
20/03/2021,03A,NHS Greater Huddersfield CCG,ALL,ALL,14400,E38000064,246604
20/03/2021,03F,NHS Hull CCG,ALL,ALL,18625,E38000085,259778
20/03/2021,03H,NHS North East Lincolnshire CCG,ALL,ALL,11050,E38000119,159563
20/03/2021,03J,NHS North Kirklees CCG,ALL,ALL,14595,E38000121,193183
20/03/2021,03K,NHS North Lincolnshire CCG,ALL,ALL,11450,E38000122,172292
20/03/2021,03L,NHS Rotherham CCG,ALL,ALL,17900,E38000141,265411
20/03/2021,03N,NHS Sheffield CCG,ALL,ALL,39365,E38000146,584853
20/03/2021,03Q,NHS Vale of York CCG,ALL,ALL,20045,E38000188,366072
20/03/2021,03R,NHS Wakefield CCG,ALL,ALL,21705,E38000190,348312
20/03/2021,03W,NHS East Leicestershire and Rutland CCG,ALL,ALL,19050,E38000051,338592
20/03/2021,04C,NHS Leicester City CCG,ALL,ALL,29560,E38000097,354224
20/03/2021,04F,NHS Milton Keynes CCG,ALL,ALL,20060,E38000107,275882
20/03/2021,04V,NHS West Leicestershire CCG,ALL,ALL,23325,E38000201,407490
20/03/2021,04Y,NHS Cannock Chase CCG,ALL,ALL,8085,E38000028,137595
20/03/2021,05A,NHS Coventry and Rugby CCG,ALL,ALL,31730,E38000038,480456
20/03/2021,05C,NHS Dudley CCG,ALL,ALL,20135,E38000046,321596
20/03/2021,05D,NHS East Staffordshire CCG,ALL,ALL,8710,E38000053,129944
20/03/2021,05G,NHS North Staffordshire CCG,ALL,ALL,12565,E38000126,219600
20/03/2021,05H,NHS Warwickshire North CCG,ALL,ALL,12515,E38000195,195147
20/03/2021,05L,NHS Sandwell and West Birmingham CCG,ALL,ALL,41385,E38000144,506073
20/03/2021,05N,NHS Shropshire CCG,ALL,ALL,18475,E38000147,323136
20/03/2021,05Q,NHS South East Staffordshire and Seisdon Peninsula CCG,ALL,ALL,14385,E38000153,226837
20/03/2021,05R,NHS South Warwickshire CCG,ALL,ALL,16200,E38000164,273851
20/03/2021,05V,NHS Stafford and Surrounds CCG,ALL,ALL,9945,E38000173,157308
20/03/2021,05W,NHS Stoke on Trent CCG,ALL,ALL,20125,E38000175,264651
20/03/2021,05X,NHS Telford and Wrekin CCG,ALL,ALL,10585,E38000183,179854
20/03/2021,05Y,NHS Walsall CCG,ALL,ALL,20210,E38000191,285478
20/03/2021,06A,NHS Wolverhampton CCG,ALL,ALL,20160,E38000210,263357
20/03/2021,06F,NHS Bedfordshire CCG,ALL,ALL,29250,E38000010,461940
20/03/2021,06H,NHS Cambridgeshire and Peterborough CCG,ALL,ALL,56415,E38000026,892627
20/03/2021,06K,NHS East and North Hertfordshire CCG,ALL,ALL,32995,E38000049,571713
20/03/2021,06L,NHS Ipswich and East Suffolk CCG,ALL,ALL,29235,E38000086,411211
20/03/2021,06N,NHS Herts Valleys CCG,ALL,ALL,33695,E38000079,598034
20/03/2021,06P,NHS Luton CCG,ALL,ALL,19270,E38000102,213052
20/03/2021,06Q,NHS Mid Essex CCG,ALL,ALL,23565,E38000106,395918
20/03/2021,06T,NHS North East Essex CCG,ALL,ALL,22125,E38000117,341267
20/03/2021,07G,NHS Thurrock CCG,ALL,ALL,12895,E38000185,174341
20/03/2021,07H,NHS West Essex CCG,ALL,ALL,20030,E38000197,310040
20/03/2021,07K,NHS West Suffolk CCG,ALL,ALL,15380,E38000204,231706
20/03/2021,07L,NHS Barking and Dagenham CCG,ALL,ALL,17615,E38000004,212906
20/03/2021,07P,NHS Brent CCG,ALL,ALL,33455,E38000020,329771
20/03/2021,07T,NHS City and Hackney CCG,ALL,ALL,20965,E38000035,290841
20/03/2021,07W,NHS Ealing CCG,ALL,ALL,35615,E38000048,341806
20/03/2021,07Y,NHS Hounslow CCG,ALL,ALL,29535,E38000084,271523
20/03/2021,08C,NHS Hammersmith and Fulham CCG,ALL,ALL,14640,E38000070,185143
20/03/2021,08E,NHS Harrow CCG,ALL,ALL,21750,E38000074,251160
20/03/2021,08F,NHS Havering CCG,ALL,ALL,15865,E38000077,259552
20/03/2021,08G,NHS Hillingdon CCG,ALL,ALL,24565,E38000082,306870
20/03/2021,08M,NHS Newham CCG,ALL,ALL,33825,E38000113,353134
20/03/2021,08N,NHS Redbridge CCG,ALL,ALL,22715,E38000138,305222
20/03/2021,08V,NHS Tower Hamlets CCG,ALL,ALL,25915,E38000186,324745
20/03/2021,08W,NHS Waltham Forest CCG,ALL,ALL,18575,E38000192,276983
20/03/2021,08Y,NHS West London CCG,ALL,ALL,16170,E38000202,227412
20/03/2021,09A,NHS Central London (Westminster) CCG,ALL,ALL,12300,E38000031,190034
20/03/2021,09D,NHS Brighton and Hove CCG,ALL,ALL,16450,E38000021,290885
20/03/2021,10C,NHS Surrey Heath CCG,ALL,ALL,5360,E38000178,96564
20/03/2021,10J,NHS North Hampshire CCG,ALL,ALL,12840,E38000120,225387
20/03/2021,10K,NHS Fareham and Gosport CCG,ALL,ALL,13030,E38000059,201071
20/03/2021,10L,NHS Isle of Wight CCG,ALL,ALL,9120,E38000087,141771
20/03/2021,10Q,NHS Oxfordshire CCG,ALL,ALL,36090,E38000136,676171
20/03/2021,10R,NHS Portsmouth CCG,ALL,ALL,13800,E38000137,214905
20/03/2021,10V,NHS South Eastern Hampshire CCG,ALL,ALL,15135,E38000154,217701
20/03/2021,10X,NHS Southampton CCG,ALL,ALL,15475,E38000167,252520
20/03/2021,11A,NHS West Hampshire CCG,ALL,ALL,32520,E38000198,570799
20/03/2021,11J,NHS Dorset CCG,ALL,ALL,52475,E38000045,773839
20/03/2021,11M,NHS Gloucestershire CCG,ALL,ALL,39795,E38000062,637070
20/03/2021,11N,NHS Kernow CCG,ALL,ALL,37270,E38000089,571802
20/03/2021,11X,NHS Somerset CCG,ALL,ALL,34800,E38000150,562225
20/03/2021,12F,NHS Wirral CCG,ALL,ALL,23695,E38000208,324011
20/03/2021,13T,NHS Newcastle Gateshead CCG,ALL,ALL,34995,E38000212,504875
20/03/2021,14L,NHS Manchester CCG,ALL,ALL,38995,E38000217,552858
20/03/2021,14Y,NHS Buckinghamshire CCG,ALL,ALL,30405,E38000223,546626
20/03/2021,15A,NHS Berkshire West CCG,ALL,ALL,24715,E38000221,491349
20/03/2021,15C,"NHS Bristol, North Somerset and South Gloucestershire CCG",ALL,ALL,56820,E38000222,963522
20/03/2021,15D,NHS East Berkshire CCG,ALL,ALL,26475,E38000224,436701
20/03/2021,15E,NHS Birmingham and Solihull CCG,ALL,ALL,85120,E38000220,1180567
20/03/2021,15F,NHS Leeds CCG,ALL,ALL,55110,E38000225,793139
20/03/2021,15M,NHS Derby and Derbyshire CCG,ALL,ALL,63535,E38000229,1026426
20/03/2021,15N,NHS Devon CCG,ALL,ALL,80205,E38000230,1200739
20/03/2021,16C,NHS Tees Valley CCG,ALL,ALL,51015,E38000247,675944
20/03/2021,18C,NHS Herefordshire and Worcestershire CCG,ALL,ALL,45700,E38000236,788587
20/03/2021,26A,NHS Norfolk and Waveney CCG,ALL,ALL,73835,E38000239,1026193
20/03/2021,27D,NHS Cheshire CCG,ALL,ALL,43775,E38000233,727223
20/03/2021,36J,NHS Bradford District and Craven CCG,ALL,ALL,48780,E38000232,590901
20/03/2021,36L,NHS South West London CCG,ALL,ALL,95545,E38000245,1504810
20/03/2021,42D,NHS North Yorkshire CCG,ALL,ALL,26560,E38000241,428231
20/03/2021,52R,NHS Nottingham and Nottinghamshire CCG,ALL,ALL,67960,E38000243,1043665
20/03/2021,70F,NHS West Sussex CCG,ALL,ALL,58205,E38000248,857166
20/03/2021,71E,NHS Lincolnshire CCG,ALL,ALL,52120,E38000238,761224
20/03/2021,72Q,NHS South East London CCG,ALL,ALL,129155,E38000244,1819271
20/03/2021,78H,NHS Northamptonshire CCG,ALL,ALL,47315,E38000242,736219
20/03/2021,84H,NHS County Durham CCG,ALL,ALL,38615,E38000234,530094
20/03/2021,91Q,NHS Kent and Medway CCG,ALL,ALL,115285,E38000237,1860111
20/03/2021,92A,NHS Surrey Heartlands CCG,ALL,ALL,60745,E38000246,1049170
20/03/2021,92G,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",ALL,ALL,55000,E38000231,921917
20/03/2021,93C,NHS North Central London CCG,ALL,ALL,99880,E38000240,1510806
20/03/2021,97R,NHS East Sussex CCG,ALL,ALL,38590,E38000235,557229
20/03/2021,99A,NHS Liverpool CCG,ALL,ALL,51455,E38000101,498042
20/03/2021,99C,NHS North Tyneside CCG,ALL,ALL,14600,E38000127,207913
20/03/2021,99E,NHS Basildon and Brentwood CCG,ALL,ALL,17370,E38000007,264220
20/03/2021,99F,NHS Castle Point and Rochford CCG,ALL,ALL,12240,E38000030,177744
20/03/2021,99G,NHS Southend CCG,ALL,ALL,12865,E38000168,183125
20/03/2021,99M,NHS North East Hampshire and Farnham CCG,ALL,ALL,12150,E38000118,211709
20/03/2021,00L,NHS Northumberland CCG,Age,0-17,195,E38000130,322434
20/03/2021,00N,NHS South Tyneside CCG,Age,0-17,135,E38000163,150976
20/03/2021,00P,NHS Sunderland CCG,Age,0-17,285,E38000176,277705
20/03/2021,00Q,NHS Blackburn with Darwen CCG,Age,0-17,200,E38000014,149696
20/03/2021,00R,NHS Blackpool CCG,Age,0-17,115,E38000015,139446
20/03/2021,00T,NHS Bolton CCG,Age,0-17,345,E38000016,287550
20/03/2021,00V,NHS Bury CCG,Age,0-17,285,E38000024,190990
20/03/2021,00X,NHS Chorley and South Ribble CCG,Age,0-17,135,E38000034,178547
20/03/2021,00Y,NHS Oldham CCG,Age,0-17,435,E38000135,237110
20/03/2021,01A,NHS East Lancashire CCG,Age,0-17,455,E38000050,382746
20/03/2021,01D,"NHS Heywood, Middleton and Rochdale CCG",Age,0-17,265,E38000080,222412
20/03/2021,01E,NHS Greater Preston CCG,Age,0-17,175,E38000227,203825
20/03/2021,01F,NHS Halton CCG,Age,0-17,95,E38000068,129410
20/03/2021,01G,NHS Salford CCG,Age,0-17,355,E38000143,258834
20/03/2021,01H,NHS North Cumbria CCG,Age,0-17,240,E38000215,319371
20/03/2021,01J,NHS Knowsley CCG,Age,0-17,165,E38000091,150862
20/03/2021,01K,NHS Morecambe Bay CCG,Age,0-17,340,E38000228,332696
20/03/2021,01T,NHS South Sefton CCG,Age,0-17,170,E38000161,160226
20/03/2021,01V,NHS Southport and Formby CCG,Age,0-17,150,E38000170,116184
20/03/2021,01W,NHS Stockport CCG,Age,0-17,340,E38000174,293423
20/03/2021,01X,NHS St Helens CCG,Age,0-17,215,E38000172,180585
20/03/2021,01Y,NHS Tameside and Glossop CCG,Age,0-17,210,E38000182,260063
20/03/2021,02A,NHS Trafford CCG,Age,0-17,345,E38000187,237354
20/03/2021,02E,NHS Warrington CCG,Age,0-17,145,E38000194,210014
20/03/2021,02G,NHS West Lancashire CCG,Age,0-17,110,E38000200,114306
20/03/2021,02H,NHS Wigan Borough CCG,Age,0-17,250,E38000205,328662
20/03/2021,02M,NHS Fylde and Wyre CCG,Age,0-17,210,E38000226,194337
20/03/2021,02P,NHS Barnsley CCG,Age,0-17,325,E38000006,246866
20/03/2021,02Q,NHS Bassetlaw CCG,Age,0-17,120,E38000008,117459
20/03/2021,02T,NHS Calderdale CCG,Age,0-17,200,E38000025,211455
20/03/2021,02X,NHS Doncaster CCG,Age,0-17,305,E38000044,311890
20/03/2021,02Y,NHS East Riding of Yorkshire CCG,Age,0-17,135,E38000052,318400
20/03/2021,03A,NHS Greater Huddersfield CCG,Age,0-17,195,E38000064,246604
20/03/2021,03F,NHS Hull CCG,Age,0-17,200,E38000085,259778
20/03/2021,03H,NHS North East Lincolnshire CCG,Age,0-17,125,E38000119,159563
20/03/2021,03J,NHS North Kirklees CCG,Age,0-17,225,E38000121,193183
20/03/2021,03K,NHS North Lincolnshire CCG,Age,0-17,100,E38000122,172292
20/03/2021,03L,NHS Rotherham CCG,Age,0-17,250,E38000141,265411
20/03/2021,03N,NHS Sheffield CCG,Age,0-17,325,E38000146,584853
20/03/2021,03Q,NHS Vale of York CCG,Age,0-17,175,E38000188,366072
20/03/2021,03R,NHS Wakefield CCG,Age,0-17,320,E38000190,348312
20/03/2021,03W,NHS East Leicestershire and Rutland CCG,Age,0-17,205,E38000051,338592
20/03/2021,04C,NHS Leicester City CCG,Age,0-17,360,E38000097,354224
20/03/2021,04F,NHS Milton Keynes CCG,Age,0-17,530,E38000107,275882
20/03/2021,04V,NHS West Leicestershire CCG,Age,0-17,250,E38000201,407490
20/03/2021,04Y,NHS Cannock Chase CCG,Age,0-17,75,E38000028,137595
20/03/2021,05A,NHS Coventry and Rugby CCG,Age,0-17,465,E38000038,480456
20/03/2021,05C,NHS Dudley CCG,Age,0-17,200,E38000046,321596
20/03/2021,05D,NHS East Staffordshire CCG,Age,0-17,165,E38000053,129944
20/03/2021,05G,NHS North Staffordshire CCG,Age,0-17,180,E38000126,219600
20/03/2021,05H,NHS Warwickshire North CCG,Age,0-17,210,E38000195,195147
20/03/2021,05L,NHS Sandwell and West Birmingham CCG,Age,0-17,420,E38000144,506073
20/03/2021,05N,NHS Shropshire CCG,Age,0-17,165,E38000147,323136
20/03/2021,05Q,NHS South East Staffordshire and Seisdon Peninsula CCG,Age,0-17,170,E38000153,226837
20/03/2021,05R,NHS South Warwickshire CCG,Age,0-17,140,E38000164,273851
20/03/2021,05V,NHS Stafford and Surrounds CCG,Age,0-17,80,E38000173,157308
20/03/2021,05W,NHS Stoke on Trent CCG,Age,0-17,285,E38000175,264651
20/03/2021,05X,NHS Telford and Wrekin CCG,Age,0-17,120,E38000183,179854
20/03/2021,05Y,NHS Walsall CCG,Age,0-17,215,E38000191,285478
20/03/2021,06A,NHS Wolverhampton CCG,Age,0-17,135,E38000210,263357
20/03/2021,06F,NHS Bedfordshire CCG,Age,0-17,455,E38000010,461940
20/03/2021,06H,NHS Cambridgeshire and Peterborough CCG,Age,0-17,870,E38000026,892627
20/03/2021,06K,NHS East and North Hertfordshire CCG,Age,0-17,495,E38000049,571713
20/03/2021,06L,NHS Ipswich and East Suffolk CCG,Age,0-17,395,E38000086,411211
20/03/2021,06N,NHS Herts Valleys CCG,Age,0-17,555,E38000079,598034
20/03/2021,06P,NHS Luton CCG,Age,0-17,560,E38000102,213052
20/03/2021,06Q,NHS Mid Essex CCG,Age,0-17,280,E38000106,395918
20/03/2021,06T,NHS North East Essex CCG,Age,0-17,435,E38000117,341267
20/03/2021,07G,NHS Thurrock CCG,Age,0-17,285,E38000185,174341
20/03/2021,07H,NHS West Essex CCG,Age,0-17,380,E38000197,310040
20/03/2021,07K,NHS West Suffolk CCG,Age,0-17,220,E38000204,231706
20/03/2021,07L,NHS Barking and Dagenham CCG,Age,0-17,565,E38000004,212906
20/03/2021,07P,NHS Brent CCG,Age,0-17,840,E38000020,329771
20/03/2021,07T,NHS City and Hackney CCG,Age,0-17,360,E38000035,290841
20/03/2021,07W,NHS Ealing CCG,Age,0-17,645,E38000048,341806
20/03/2021,07Y,NHS Hounslow CCG,Age,0-17,465,E38000084,271523
20/03/2021,08C,NHS Hammersmith and Fulham CCG,Age,0-17,255,E38000070,185143
20/03/2021,08E,NHS Harrow CCG,Age,0-17,355,E38000074,251160
20/03/2021,08F,NHS Havering CCG,Age,0-17,360,E38000077,259552
20/03/2021,08G,NHS Hillingdon CCG,Age,0-17,625,E38000082,306870
20/03/2021,08M,NHS Newham CCG,Age,0-17,645,E38000113,353134
20/03/2021,08N,NHS Redbridge CCG,Age,0-17,505,E38000138,305222
20/03/2021,08V,NHS Tower Hamlets CCG,Age,0-17,475,E38000186,324745
20/03/2021,08W,NHS Waltham Forest CCG,Age,0-17,405,E38000192,276983
20/03/2021,08Y,NHS West London CCG,Age,0-17,305,E38000202,227412
20/03/2021,09A,NHS Central London (Westminster) CCG,Age,0-17,230,E38000031,190034
20/03/2021,09D,NHS Brighton and Hove CCG,Age,0-17,205,E38000021,290885
20/03/2021,10C,NHS Surrey Heath CCG,Age,0-17,65,E38000178,96564
20/03/2021,10J,NHS North Hampshire CCG,Age,0-17,145,E38000120,225387
20/03/2021,10K,NHS Fareham and Gosport CCG,Age,0-17,85,E38000059,201071
20/03/2021,10L,NHS Isle of Wight CCG,Age,0-17,75,E38000087,141771
20/03/2021,10Q,NHS Oxfordshire CCG,Age,0-17,475,E38000136,676171
20/03/2021,10R,NHS Portsmouth CCG,Age,0-17,105,E38000137,214905
20/03/2021,10V,NHS South Eastern Hampshire CCG,Age,0-17,80,E38000154,217701
20/03/2021,10X,NHS Southampton CCG,Age,0-17,200,E38000167,252520
20/03/2021,11A,NHS West Hampshire CCG,Age,0-17,355,E38000198,570799
20/03/2021,11J,NHS Dorset CCG,Age,0-17,530,E38000045,773839
20/03/2021,11M,NHS Gloucestershire CCG,Age,0-17,460,E38000062,637070
20/03/2021,11N,NHS Kernow CCG,Age,0-17,680,E38000089,571802
20/03/2021,11X,NHS Somerset CCG,Age,0-17,265,E38000150,562225
20/03/2021,12F,NHS Wirral CCG,Age,0-17,210,E38000208,324011
20/03/2021,13T,NHS Newcastle Gateshead CCG,Age,0-17,465,E38000212,504875
20/03/2021,14L,NHS Manchester CCG,Age,0-17,885,E38000217,552858
20/03/2021,14Y,NHS Buckinghamshire CCG,Age,0-17,355,E38000223,546626
20/03/2021,15A,NHS Berkshire West CCG,Age,0-17,350,E38000221,491349
20/03/2021,15C,"NHS Bristol, North Somerset and South Gloucestershire CCG",Age,0-17,655,E38000222,963522
20/03/2021,15D,NHS East Berkshire CCG,Age,0-17,405,E38000224,436701
20/03/2021,15E,NHS Birmingham and Solihull CCG,Age,0-17,990,E38000220,1180567
20/03/2021,15F,NHS Leeds CCG,Age,0-17,510,E38000225,793139
20/03/2021,15M,NHS Derby and Derbyshire CCG,Age,0-17,795,E38000229,1026426
20/03/2021,15N,NHS Devon CCG,Age,0-17,630,E38000230,1200739
20/03/2021,16C,NHS Tees Valley CCG,Age,0-17,850,E38000247,675944
20/03/2021,18C,NHS Herefordshire and Worcestershire CCG,Age,0-17,250,E38000236,788587
20/03/2021,26A,NHS Norfolk and Waveney CCG,Age,0-17,870,E38000239,1026193
20/03/2021,27D,NHS Cheshire CCG,Age,0-17,505,E38000233,727223
20/03/2021,36J,NHS Bradford District and Craven CCG,Age,0-17,400,E38000232,590901
20/03/2021,36L,NHS South West London CCG,Age,0-17,1645,E38000245,1504810
20/03/2021,42D,NHS North Yorkshire CCG,Age,0-17,250,E38000241,428231
20/03/2021,52R,NHS Nottingham and Nottinghamshire CCG,Age,0-17,810,E38000243,1043665
20/03/2021,70F,NHS West Sussex CCG,Age,0-17,680,E38000248,857166
20/03/2021,71E,NHS Lincolnshire CCG,Age,0-17,610,E38000238,761224
20/03/2021,72Q,NHS South East London CCG,Age,0-17,2200,E38000244,1819271
20/03/2021,78H,NHS Northamptonshire CCG,Age,0-17,710,E38000242,736219
20/03/2021,84H,NHS County Durham CCG,Age,0-17,530,E38000234,530094
20/03/2021,91Q,NHS Kent and Medway CCG,Age,0-17,1995,E38000237,1860111
20/03/2021,92A,NHS Surrey Heartlands CCG,Age,0-17,905,E38000246,1049170
20/03/2021,92G,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",Age,0-17,460,E38000231,921917
20/03/2021,93C,NHS North Central London CCG,Age,0-17,1945,E38000240,1510806
20/03/2021,97R,NHS East Sussex CCG,Age,0-17,490,E38000235,557229
20/03/2021,99A,NHS Liverpool CCG,Age,0-17,750,E38000101,498042
20/03/2021,99C,NHS North Tyneside CCG,Age,0-17,220,E38000127,207913
20/03/2021,99E,NHS Basildon and Brentwood CCG,Age,0-17,305,E38000007,264220
20/03/2021,99F,NHS Castle Point and Rochford CCG,Age,0-17,215,E38000030,177744
20/03/2021,99G,NHS Southend CCG,Age,0-17,195,E38000168,183125
20/03/2021,99M,NHS North East Hampshire and Farnham CCG,Age,0-17,135,E38000118,211709
20/03/2021,00L,NHS Northumberland CCG,Age,18-29,780,E38000130,322434
20/03/2021,00N,NHS South Tyneside CCG,Age,18-29,485,E38000163,150976
20/03/2021,00P,NHS Sunderland CCG,Age,18-29,1015,E38000176,277705
20/03/2021,00Q,NHS Blackburn with Darwen CCG,Age,18-29,475,E38000014,149696
20/03/2021,00R,NHS Blackpool CCG,Age,18-29,410,E38000015,139446
20/03/2021,00T,NHS Bolton CCG,Age,18-29,955,E38000016,287550
20/03/2021,00V,NHS Bury CCG,Age,18-29,505,E38000024,190990
20/03/2021,00X,NHS Chorley and South Ribble CCG,Age,18-29,370,E38000034,178547
20/03/2021,00Y,NHS Oldham CCG,Age,18-29,900,E38000135,237110
20/03/2021,01A,NHS East Lancashire CCG,Age,18-29,860,E38000050,382746
20/03/2021,01D,"NHS Heywood, Middleton and Rochdale CCG",Age,18-29,710,E38000080,222412
20/03/2021,01E,NHS Greater Preston CCG,Age,18-29,525,E38000227,203825
20/03/2021,01F,NHS Halton CCG,Age,18-29,395,E38000068,129410
20/03/2021,01G,NHS Salford CCG,Age,18-29,890,E38000143,258834
20/03/2021,01H,NHS North Cumbria CCG,Age,18-29,825,E38000215,319371
20/03/2021,01J,NHS Knowsley CCG,Age,18-29,460,E38000091,150862
20/03/2021,01K,NHS Morecambe Bay CCG,Age,18-29,940,E38000228,332696
20/03/2021,01T,NHS South Sefton CCG,Age,18-29,570,E38000161,160226
20/03/2021,01V,NHS Southport and Formby CCG,Age,18-29,300,E38000170,116184
20/03/2021,01W,NHS Stockport CCG,Age,18-29,725,E38000174,293423
20/03/2021,01X,NHS St Helens CCG,Age,18-29,610,E38000172,180585
20/03/2021,01Y,NHS Tameside and Glossop CCG,Age,18-29,730,E38000182,260063
20/03/2021,02A,NHS Trafford CCG,Age,18-29,575,E38000187,237354
20/03/2021,02E,NHS Warrington CCG,Age,18-29,505,E38000194,210014
20/03/2021,02G,NHS West Lancashire CCG,Age,18-29,280,E38000200,114306
20/03/2021,02H,NHS Wigan Borough CCG,Age,18-29,945,E38000205,328662
20/03/2021,02M,NHS Fylde and Wyre CCG,Age,18-29,415,E38000226,194337
20/03/2021,02P,NHS Barnsley CCG,Age,18-29,770,E38000006,246866
20/03/2021,02Q,NHS Bassetlaw CCG,Age,18-29,425,E38000008,117459
20/03/2021,02T,NHS Calderdale CCG,Age,18-29,640,E38000025,211455
20/03/2021,02X,NHS Doncaster CCG,Age,18-29,1140,E38000044,311890
20/03/2021,02Y,NHS East Riding of Yorkshire CCG,Age,18-29,755,E38000052,318400
20/03/2021,03A,NHS Greater Huddersfield CCG,Age,18-29,690,E38000064,246604
